protocol,split,n_clips,n_ships_mmsi,n_sessions,n_background,samples_per_mmsi_mean,samples_per_mmsi_median,samples_per_session_mean,label_background,label_cargo,label_tug,label_passengership,label_tanker
random,train,140772,222,3617,31127,493.89639639639637,126.0,38.91954658556815,31127,29614,28517,26548,24966
random,val,17596,221,2389,3901,61.9683257918552,16.0,7.365424863959816,3901,3762,3536,3257,3140
random,test,17597,221,2379,3880,62.067873303167424,16.0,7.396805380411938,3880,3718,3579,3375,3045
mmsi,train,132494,178,3750,31126,569.4831460674158,147.5,35.33173333333333,31126,26009,29512,19041,26806
mmsi,val,17540,22,2290,3891,620.4090909090909,192.0,7.6593886462882095,3891,2031,5520,2382,3716
mmsi,test,25931,22,2285,3891,1001.8181818181819,180.0,11.348358862144421,3891,9054,600,11757,629
session,train,143788,222,3026,31313,506.64414414414415,131.5,47.51751487111699,31313,30534,29210,27175,25556
session,val,16232,221,378,3754,56.46153846153846,15.0,42.94179894179894,3754,3313,3284,3018,2863
session,test,15945,221,378,3841,54.76923076923077,13.0,42.182539682539684,3841,3247,3138,2987,2732
temporal,train,135389,180,3738,29686,587.2388888888889,159.5,36.21963616907437,29686,30103,26752,25922,22926
temporal,val,23516,43,2439,4240,448.27906976744185,175.0,9.641656416564166,4240,3681,4826,3173,7596
temporal,test,17060,33,2456,4982,366.0,247.0,6.9462540716612375,4982,3310,4054,4085,629
scenario,train,35428,103,3105,9249,254.16504854368932,104.0,11.40998389694042,9249,8861,8294,2838,6186
scenario,val,63269,107,3288,16200,439.89719626168227,171.0,19.242396593673966,16200,15041,13819,13364,4845
scenario,test,49321,92,2834,12948,395.35869565217394,154.5,17.40331686661962,12948,11335,11231,10127,3680
official,train,152310,222,3611,30462,548.8648648648649,133.5,42.17945167543617,30462,30462,30462,30462,30462
official,val,15770,221,2630,5707,45.53393665158371,17.0,5.996197718631179,5707,4393,3404,1814,452
official,test,7885,219,2101,2739,23.49771689497717,8.0,3.7529747739171824,2739,2239,1766,904,237
